,company,weight,OS,ram,processor,processor_speed,screen_size,screen_type,touch_screen,price,height_resolution,width_resolution
2791,Lenovo,2.4,Windows,16.0,Intel Core i7,2300.0,15.6,IPS,0.0,5549.0,2560.0,1440.0
2792,HP,1.61,Windows,8.0,Intel Core i5,2400.0,14.0,IPS,1.0,3199.0,1920.0,1080.0
2793,Lenovo,1.39,Windows,8.0,Intel Core i5,2400.0,13.3,IPS,0.0,2831.0,1920.0,1080.0
2794,Asus,1.8,Windows,8.0,AMD Ryzen 3,2600.0,15.6,LCD,0.0,1560.0,1920.0,1080.0
2795,Dell,1.79,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,3559.0,1920.0,1080.0
2796,Dell,1.79,Windows,16.0,Intel Core i7,2500.0,15.6,LCD,0.0,6199.0,1920.0,1080.0
2797,Asus,1.4,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,2490.0,1920.0,1080.0
2798,Dell,1.69,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,3419.0,1920.0,1080.0
2799,Dell,1.69,Windows,8.0,Intel Core i3,3000.0,15.6,LCD,0.0,1801.0,1920.0,1080.0
2800,Lenovo,2.4,Windows,16.0,Intel Core i7,2400.0,15.6,IPS,0.0,7168.0,2560.0,1440.0
2801,Lenovo,2.4,Windows,16.0,Intel Core i7,2300.0,15.6,IPS,0.0,5808.0,2560.0,1440.0
2804,Asus,1.8,Windows,8.0,Intel Core i7,2400.0,15.6,LED,0.0,2690.0,1920.0,1080.0
2806,HP,1.36,Windows,16.0,Intel Core i5,2400.0,14.0,IPS,0.0,4589.0,1920.0,1200.0
2807,Asus,2.3,Windows,32.0,Intel Core i7,2400.0,15.6,LCD,0.0,7990.0,2560.0,1440.0
2808,HP,1.36,Windows,16.0,Intel Core i7,2400.0,14.0,IPS,0.0,5189.0,1920.0,1200.0
2810,HP,2.46,Windows,16.0,Intel Core i7,2400.0,15.6,IPS,0.0,6599.0,1920.0,1080.0
2811,HP,2.46,Windows,16.0,Intel Core i5,2400.0,15.6,IPS,0.0,5999.0,1920.0,1080.0
2813,Asus,1.5,Windows,16.0,Intel Core i5,2400.0,14.0,LCD,1.0,6290.0,2560.0,1440.0
2816,HP,2.38,Windows,32.0,Intel Core i9,2400.0,16.0,OLED,1.0,11172.0,3840.0,2400.0
2817,Lenovo,1.76,Windows,16.0,Intel Core i5,2400.0,16.0,IPS,0.0,5990.0,1920.0,1200.0
2818,Asus,2.0,Windows,32.0,AMD Ryzen 9,2400.0,15.6,OLED,1.0,7699.0,1920.0,1080.0
2819,Dell,1.26,Windows,16.0,Intel Core i7,2400.0,13.4,OLED,0.0,8990.0,1920.0,1200.0
2820,HP,1.41,Windows,8.0,Intel Core i3,2400.0,14.0,IPS,0.0,2340.0,1920.0,1080.0
2822,Dell,1.65,Windows,16.0,Intel Core i7,2400.0,13.3,LCD,0.0,6290.0,1920.0,1080.0
2825,Dell,1.65,Windows,8.0,Intel Core i7,2400.0,14.0,LCD,1.0,4695.0,1920.0,1080.0
2826,Dell,1.7,Windows,8.0,Intel Core i7,2400.0,15.6,LCD,0.0,3238.0,1920.0,1080.0
2827,Dell,2.51,Windows,32.0,Intel Core i9,2400.0,17.0,LCD,1.0,17650.0,3840.0,2400.0
2829,Lenovo,1.65,Windows,32.0,Intel Core i9,2400.0,16.0,IPS,0.0,17625.0,2560.0,1600.0
2831,Lenovo,1.5,Windows,16.0,Intel Core i5,2400.0,14.0,IPS,1.0,4393.0,1920.0,1200.0
2833,Lenovo,1.65,Windows,32.0,Intel Core i9,2400.0,16.0,IPS,0.0,16829.0,2560.0,1600.0
